artist_id,match_error,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18,linked_artist_id
/artists/5096183-rank-wonder,X,Rank Wonder,Cutty Ranks (feat. Wayne Wonder),0bleXbir18SYe5ze9YVxzS,0.51,4,35,478,,,,,,,,,,,,,,,,,,,
/artists/7251559-with-sextet,X,with Sextet,Stan Getz with Cal Tjader Sextet,5cgN4lGRQTSPZ80VgwrQz8,0.51,0,42,82,,,,,,,,,,,,,,,,,,,
/artists/2548046-freddy-fischer,,Freddy Fischer,Freddy Fischer & His Cosmic Rocktime Band,5UQlN6PXaroF7JygjTOgfr,0.51,16,1719,1900,,,,,,,,,,,,,,,,,,,/artists/397960-freddy-fischer-and-his-cosmic-rocktime-band
/artists/9655394-road-dust,X,Road Dust,Dusty Road Runners,4q0CpcBKQdLnocwHiGvS4a,0.52,0,6,1,,,,,,,,,,,,,,,,,,,
/artists/1054495-egogrill,X,EGOGRILL,Ego Kill Talent,2FkHoIxJdhomebqlsXKZ3i,0.52,43,38089,136200,brazilian rock,rock alternativo brasileiro,,,,,,,,,,,,,,,,,/artists/8756194-ego-kill-talent
/artists/9198339-mackenzie-ziegler,X,Mackenzie Ziegler,kenzie,5pWUVnrc1y0FpWZ6VCy0Hg,0.52,62,530636,2500000,social media pop,,,,,,,,,,,,,,,,,,
/artists/9695279-woodoism,X,Woodoism,Florian Weiss' Woodoism,2WFtxVwg1ic81bZuOm3Urj,0.52,19,108,8000,,,,,,,,,,,,,,,,,,,/artists/10161432-florian-weiss-woodoism
/artists/8887634-insurgency-sound,X,Insurgency Sound,Sounds Like Insurgency,4mCYlMQFwKPd2fkhXSGGiM,0.53,0,1,28600,,,,,,,,,,,,,,,,,,,
/artists/10073393-fun41,X,Fun41,FUNK150BPM,2HO7mpQSTmwuUu5SSezXUz,0.53,2,289,174,,,,,,,,,,,,,,,,,,,
/artists/3325706-reverend-red,,The Reverend Red,Reverend Red & The Deacon Eds,6RBcaz2TkzAaldW6EBWqMF,0.53,0,27,5,,,,,,,,,,,,,,,,,,,
/artists/3385296-fuck-art,,Fuck Art,"FUCK ART, LET'S DANCE!",3IkL1ld3owCvDr8939dp0t,0.53,28,12334,19700,german indie rock,hamburg indie,,,,,,,,,,,,,,,,,/artists/4491438-fuck-art-lets-dance
/artists/224472-bnabar,X,B�nabar,Nabarun Bose,3sL9zQHr9moOn05l6CtiR8,0.53,2,11,594,,,,,,,,,,,,,,,,,,,
/artists/2347487-kevin-devine-and-the-goddamn-band,,Kevin Devine and The Goddamn Band,Kevin Devine,66ScZxprvrMbCtN4ivA0JX,0.53,47,42918,431800,brooklyn indie,,,,,,,,,,,,,,,,,,/artists/267661-kevin-devine
/artists/7575164-mo-mo-moe,X,MØ Mö Moe,Menny More,4jUZU6B8Q7FJr7lW826tR2,0.53,17,130,121,,,,,,,,,,,,,,,,,,,
/artists/8422598-versus-people,X,Versus People,The People Versus,7xChVh3g4yn9Mipj7MIZ1a,0.53,10,308,741,,,,,,,,,,,,,,,,,,,
/artists/3104371-zerospin,X,Zero-spin,SPINT0,7pQy1c1GGl42Uep59PopDC,0.53,3,2,515,,,,,,,,,,,,,,,,,,,
/artists/9691669-bottle-hymn,X,Bottle Hymn,Battle Hymn Of The Republic,6pC18zNOmhhwEbwnehhBLA,0.53,1,12,78,,,,,,,,,,,,,,,,,,,
/artists/3757576-love-beatles,X,The Love Beatles,Memphis Loves The Beatles Studio Band,1cti53NtX5PZtGATWuQPBv,0.53,0,23,8,,,,,,,,,,,,,,,,,,,
/artists/3956026-cannonsoul,X,Cannonsoul,Patrick Bianco's Cannonsoul,4MZb954NNQ5f7AQ0GWpdLJ,0.54,0,17,6,,,,,,,,,,,,,,,,,,,
/artists/10064442-modusquartett,,Modus-Quartett,Quartetto Modus,6j8DgqT6jmzF4Y3f2AH1NL,0.55,2,10,82,quartetto d'archi,,,,,,,,,,,,,,,,,,
/artists/938332-jacknives,,The Jacknives,Egidio Juke Ingala & The Jacknives,6qCpBuLmgSdUiVc7YulSJF,0.55,0,63,23,,,,,,,,,,,,,,,,,,,
/artists/9055394-woodmade,X,Woodmade,Woodside Wayne,5ZgGn9hPgA2WbmH18ET8ZJ,0.55,36,5,134,,,,,,,,,,,,,,,,,,,
/artists/1855697-voodoo-dick,,Voodoo Dick,Dick Voodoo,3z9U4Ue1TtLGtDjJyMfPYJ,0.55,0,190,84,,,,,,,,,,,,,,,,,,,
/artists/6392204-kartel-klub,,Kartel Klub,Klub Kartel,3J2UGUUsgMtHDuPIJLl1Tw,0.55,0,33,20,,,,,,,,,,,,,,,,,,,
/artists/8734544-season-tree,,Season Tree,Tree Season,0MTkswV5gHsBgQOaRH7F36,0.55,0,265,28,,,,,,,,,,,,,,,,,,,
/artists/3973786-rusty-blues,X,The Rusty Blues,Toledo Bob & The Rusty Zipper Blues Band,7wNqququWAMQnmPj81E6Rn,0.55,0,7,2,,,,,,,,,,,,,,,,,,,
/artists/5281528-alexander-knappe,,Alexander Knappe,Knappe,02jkPxmytH0Jj7qtp1qooI,0.55,47,25295,197000,german pop,,,,,,,,,,,,,,,,,,
/artists/4869288-john-pigeon,,John Pigeon,Pigeon John,3RfeWhoxAqlNRNcywG7RJj,0.55,47,36620,256399,,,,,,,,,,,,,,,,,,,/artists/96251-pigeon-john
/artists/933046-lo-fat-orchestra,X,The Lo Fat Orchestra,Fat Harry White And The Love Limited Orchestra,2CzK5zcmRB6JW5wQluX6ZC,0.55,1,147,56,,,,,,,,,,,,,,,,,,,
/artists/803522-slam-and-howie,X,SLAM & HOWIE,Slam & Howie And The Reserve Men,2TspMZ2bACFzHJ9Eym83cJ,0.55,3,526,214,,,,,,,,,,,,,,,,,,,
/artists/7589169-mad-and-denyo,X,Mad & Denyo,Madisenxoxo,2S2x3n1BXskbkRdEdj5gSB,0.55,37,4702,70500,,,,,,,,,,,,,,,,,,,
/artists/2488971-jp-inc,,JP Inc.,JP Incorporated,4cyWMvrbOUM2AjGyJxYg41,0.55,19,54,33600,,,,,,,,,,,,,,,,,,,
/artists/10102776-50sfive,X,50’s-Five,504 Suave,4fKIt5vWJLCFWMhdOpbQuK,0.56,0,0,19400000,,,,,,,,,,,,,,,,,,,
/artists/9063549-dong-bah,X,Dong Bâh,Don Baxter,1QMGuOMDua3iRsYll0YnHa,0.56,37,12750,4600,romanian rap,,,,,,,,,,,,,,,,,,
/artists/3027401-noze-live,X,Noze Live,None Like Joshua,13rNJ8sWbjGYIUjqtHZvL2,0.56,55,56603,171900,anime rap,otacore,,,,,,,,,,,,,,,,,
/artists/8114828-superlandlerkapelle-carlo-brunner,,Superländlerkapelle Carlo Brunner,Carlo Brunner's Superländlerkapelle,43M8ysPyBVoJxoV4RQWA8k,0.56,14,293,1100,swiss folk,,,,,,,,,,,,,,,,,,/artists/7327314-carlo-brunners-superlandlerkapelle
/artists/9940369-kendy-toms,,Kendy Toms,Kendy Toms & The Red Boots,5jBtkixkM1dU8TopQtEqfE,0.56,3,17,56,,,,,,,,,,,,,,,,,,,
/artists/9503464-harz-ch,X,Härz CH,Harf Cheema,5LCotODBhURh2HRrDINp3A,0.56,38,367912,86400,punjabi pop,,,,,,,,,,,,,,,,,,
/artists/2100152-thee-silver-mt-zion-memorial-orchestra,,Thee Silver Mt. Zion Memorial Orchestra,Silver Mt. Zion,0bRpSBtMd3stO4J6TWclMb,0.56,41,70753,103200,canadian post-rock,post-rock,,,,,,,,,,,,,,,,,
/artists/9356044-ariel-jardin,,Ariel Jardin,Ariel Jardin et Johannes Dullin,3Sx2NsSxH2DC1PP6ps4Wq6,0.56,0,0,4,,,,,,,,,,,,,,,,,,,
/artists/3524016-u32,,Ü32,u-32,5tbaQ5sZjzcZg5bvmb8gS1,0.57,0,0,7,,,,,,,,,,,,,,,,,,,
/artists/9419434-shantidas,X,shantidas,Shania Twain,5e4Dhzv426EvQe3aDb64jL,0.57,74,2361026,8600000,canadian country,canadian pop,country,country dawn,dance pop,,,,,,,,,,,,,,
/artists/9542899-rock-the-opera,X,Rock the Opera,Frankenstein: The Rock Opera,5cP6Vn2kYBz4Ye6icjxumw,0.57,0,91,18,,,,,,,,,,,,,,,,,,,
/artists/9284889-sz-only,X,S/Z only,L6ONLY,3Z1URmEWcYQS8fSNx9r0um,0.57,0,2,2,,,,,,,,,,,,,,,,,,,
/artists/5824309-xcube,,X-cube,Cube-[x],5Kor8kAVYVx9WliqeI1vSU,0.57,0,6,7,,,,,,,,,,,,,,,,,,,
/artists/4347446-playlove,X,Playlove,The Playtones,4UThQDoYdZatw3BH5zZIne,0.57,41,22231,100800,dansband,danspunk,rockabilly,swedish rockabilly,,,,,,,,,,,,,,,
/artists/8050853-familydji,X,Family-Dji,Family Dinner Jazz,01rqTyOOQHDG6prZvPJROw,0.57,0,1,7,,,,,,,,,,,,,,,,,,,
/artists/8873874-sin-logica,X,Sin Logica,Logical Sin,1FsAMCn6xX44FR3f1azyfm,0.57,0,6,23,,,,,,,,,,,,,,,,,,,
/artists/1052180-halbzeit,X,halbzeit,Halbert Stone,2iLk7f4nMNmLZytDO6vaYc,0.57,46,56,275600,,,,,,,,,,,,,,,,,,,
/artists/4847548-matterlive,X,Matterlive,Ueli Schmezers Matterlive,0pmDYMwzmCPGshXQhkuxaP,0.57,1,37,98,chinderlieder,,,,,,,,,,,,,,,,,,
/artists/9395379-old-timer-jazz,X,Old Timer Jazz,The Old Time Jazz Band Di L. Tot,1H7YTijCZxzj7tDuMHdlBY,0.57,6,14,541,,,,,,,,,,,,,,,,,,,
/artists/9496079-toe-for-toe,X,Toe for Toe,10 Toes For Tha-Bankroll,1khKnoYW8RxXZa41cZi6CL,0.57,0,0,197100,,,,,,,,,,,,,,,,,,,
/artists/3167821-elias-araya,X,Elias Araya,Diego Ivan Elias Cruz Araya,56sa09XPQrPSj4d9yQxgZ8,0.58,0,1,1,,,,,,,,,,,,,,,,,,,
/artists/4161446-el-tigre-sound,X,El Tigre Sound,El Tigre de Santajulia Soundsystem,4GxBwVlFL9BpblMLKCxxce,0.58,0,11,6,,,,,,,,,,,,,,,,,,,
/artists/4280286-silence-lost,,Silence Lost,Lost Silence,2l8AkQgr0WvJozvkITOkAu,0.58,2,41,173,,,,,,,,,,,,,,,,,,,
/artists/2364828-poetry-slam,X,Poetry Slam,poetry slam bam thank u mam,0JMMc8Fl3YZaZoJ3R4U9Tn,0.58,0,23,19,,,,,,,,,,,,,,,,,,,
/artists/2355718-dan-michaelson-and-the-coastguards,,Dan Michaelson and The Coastguards,Dan Michaelson,685wnfgdYna4oq6PrJsI6J,0.58,19,2431,4100,,,,,,,,,,,,,,,,,,,
/artists/4458233-mei-zhiyong,,Mei Zhiyong,Mei Zhiyong & Dave Phillips,40Uc8qjFJEE8nn4oQinh6d,0.58,0,16,2,chinese experimental,,,,,,,,,,,,,,,,,,
/artists/4542813-big-pete-band,X,Big Pete Band,Saint Petersburg Big Band,58hRf4qgnIJjteU60L43kE,0.58,1,2,137,,,,,,,,,,,,,,,,,,,
/artists/9210509-kalo-yele,X,Kalo Yele,Kaliteli,3GwuUBI0rKDjyzZcB2IHRK,0.59,26,6,7,,,,,,,,,,,,,,,,,,,
/artists/9772434-xbluesive,,X-bluesive,x-bluesive & the x-horns,4LCNdCi0driw5Dxqcf0O7e,0.59,0,6,7,,,,,,,,,,,,,,,,,,,
/artists/4331501-ubereel,X,Übereel,Übermensch,75rCRvYp14u4zLfTyv8GCu,0.59,39,4419,22500,deutschrock,,,,,,,,,,,,,,,,,,
/artists/2787306-blues-dynamite,X,The Blues Dynamite,The Dynamite Blues Band,4D0cKjiu1haHZCCB70J8Vd,0.59,11,672,1300,dutch blues,,,,,,,,,,,,,,,,,,
/artists/7214464-djs-garcon,X,DJs Garçon,GOON DES GARCONS*,5WyJhpNewRPUahSlrxkOeR,0.59,47,5976,74900,,,,,,,,,,,,,,,,,,,
/artists/2362411-relentless7,,Relentless7,Ben Harper And Relentless7,1rvRbKEVG3blb8mbUlo8xR,0.59,27,32870,16700,,,,,,,,,,,,,,,,,,,/artists/2382827-ben-harper-and-relentless7
/artists/8249813-dodonpa,X,Dodonpa!,Dodobeatz,52dpNnsxLJ9ldbf0cWWbx6,0.59,37,3493,64000,,,,,,,,,,,,,,,,,,,
/artists/4126201-drei-engel,,Drei Engel,Engel 3,2qT0s60vpZQzg5eAnX5KGG,0.59,19,0,550700,,,,,,,,,,,,,,,,,,,
/artists/800575-apache-the-band,X,Apache (The Band),The Fort Apache Band,40DRvF33N4LG2DXTst2vLJ,0.59,5,262,458,,,,,,,,,,,,,,,,,,,
/artists/394864-neil-young-and-crazy-horse,,Neil Young & Crazy Horse,Neil Young,6v8FB84lnmJs434UJf2Mrm,0.59,72,2362847,6300000,album rock,canadian singer-songwriter,classic canadian rock,classic rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter,,,,,,,,,,/artists/1980138-neil-young
/artists/9202324-off-path,X,Off Path,Off the Beaten Path,50ce5Y8OJgxxWtMrUtrcwG,0.59,0,378,1,,,,,,,,,,,,,,,,,,,
/artists/10164672-patti-basler,,Patti Basler,Patti Basler & Philippe Kuhn,6cos12lR8zg6sBEJkSbCNe,0.6,0,32,45,,,,,,,,,,,,,,,,,,,
/artists/4521428-u30,,Ü30,Über 30,4LdUDdV0b6qIu0Hv2kD7Ze,0.6,0,2,1,,,,,,,,,,,,,,,,,,,
/artists/201692-locash-cowboys,X,LoCash Cowboys,LOCASH,5IcGbIAgdns0R5EJKHMjCQ,0.6,57,291889,1000000,contemporary country,country pop,country rap,country road,modern country rock,,,,,,,,,,,,,,
/artists/4565748-cock-to-cock,X,Cock to Cock,K2 Cocky,3i237FSi7zhqY6NoIZePh3,0.6,1,12,99,,,,,,,,,,,,,,,,,,,
/artists/10154750-chlu,X,Ch'Lu,Chlöe,1FtBEIWAwvw5ymBen5GICR,0.6,72,111075,7100000,,,,,,,,,,,,,,,,,,,
/artists/9735664-vintage-company,X,Vintage Company,Vintage Train Sound Effects Company,1LGqUKYyYK0Cu1ZxkjvZux,0.6,0,22,13,sound effects,,,,,,,,,,,,,,,,,,
/artists/3665741-seh,X,Seh...,SEHK,65YVYzDajIoVDwLMN6HBwE,0.6,5,6,4,,,,,,,,,,,,,,,,,,,
/artists/3541081-vor,X,Vor...,Vory,0GeeIVcvGA8GSlWsoY1dkG,0.6,62,71757,513200,kentucky hip hop,pop rap,trap soul,,,,,,,,,,,,,,,,
/artists/1927956-haddocks,,The Haddocks,Marvin Bridge & The Haddocks,67EuitW4TmkweoJDLb4b0k,0.6,0,13,7,,,,,,,,,,,,,,,,,,,
/artists/6661639-munchener-kammerorchester,,Münchener Kammerorchester,Munich Chamber Orchestra,43CmLUkZNUzmvPNUhxeoSU,0.61,36,1005,58400,chamber orchestra,string orchestra,,,,,,,,,,,,,,,,,
/artists/7311069-ottetto,X,Ottetto,Ottetto Italiano,1Azz3CctxuMEtFzR6XkI5P,0.61,3,132,263,wind ensemble,,,,,,,,,,,,,,,,,,
/artists/5240018-crankcase,X,Crankcase,CrankGameplays,24HlLTdDkUzA9nTwrUfXsZ,0.61,33,1779,656,,,,,,,,,,,,,,,,,,,
/artists/8509198-nice-the-band,X,Nice: The Band,the Nice 'N Nasty Band,024Ihtqy2xqYah4KowMlfK,0.61,0,1,2,,,,,,,,,,,,,,,,,,,
/artists/159617-otomo-yoshihide,,Otomo Yoshihide,Otomo Yoshihide's New Jazz Quintet,5QdYaNYnmMDJcPz3vCOO1b,0.61,5,1872,566,free improvisation,japanese jazz,,,,,,,,,,,,,,,,,
/artists/967497-laughing-buddha,X,The Laughing Buddha,Mike Davis and the Laughing Buddha Episodes,5ZvvcV0QZUf66NyEwRWdN7,0.61,0,49,15,,,,,,,,,,,,,,,,,,,
/artists/7290514-lex-killa,X,Lex Killa,Lee Killington,49zYebgK4HVhfyFfxZ2jDH,0.61,27,132,11500,,,,,,,,,,,,,,,,,,,
/artists/3512031-poursuite,X,Poursuite,United Pursuit,4YCpRzudpG6AeE0IvCjiGo,0.61,60,217658,821300,anthem worship,ccm,deep ccm,world worship,worship,,,,,,,,,,,,,,
/artists/10158976-paddy-pale,,Paddy Pale,Paddy and the Pale Boys,3kdIR6g1eN7TEbHMdTspLz,0.61,0,1,1,,,,,,,,,,,,,,,,,,,
/artists/1606014-h-e-a-t,X,H. E. A. T,H e a t h e r,1bqJgflUEBM8wZLJPpxtvx,0.61,1,38,51,,,,,,,,,,,,,,,,,,,
/artists/4590318-steve-earle-and-the-dukes,,Steve Earle and the Dukes,Steve Earle,2UBTfUoLI07iRqGeUrwhZh,0.61,63,223965,2100000,alternative country,country rock,folk,folk rock,heartland rock,new americana,outlaw country,roots rock,singer-songwriter,texas country,,,,,,,,,/artists/263807-steve-earle
/artists/8387578-qbig,X,Q-Big,QP Biggz,6ccOzkKV4KzPApDBdx99Rz,0.62,0,0,12500,,,,,,,,,,,,,,,,,,,
/artists/6113424-dj-sharkt,,DJ Shark-T,DJ Shark El Tiburon,0a17bxYDSe2EiFjQkY73Pw,0.62,0,14,2200000,,,,,,,,,,,,,,,,,,,
/artists/3148616-city-kill,X,The City Kill,Kill The City,19Obhxi2To0uHE73LSrqtK,0.62,0,4,1100,,,,,,,,,,,,,,,,,,,
/artists/1760120-dr-woggle,,dr. woggle,Dr. Woggle & The Radio,4xCWIhqJrxidcohipz2EFz,0.62,12,1051,1500,euroska,,,,,,,,,,,,,,,,,,/artists/281645-dr-woggle-and-the-radio
/artists/595764-residente-calle-13,,Residente Calle 13,Calle 13,0yNSzH5nZmHzeE2xn6Xshb,0.62,73,2550128,5600000,latin,latin afrobeat,latin alternative,latin hip hop,puerto rican rock,rap conciencia,reggaeton,rock en espanol,,,,,,,,,,,/artists/553669-calle-13
/artists/8693093-jakob-ogawa,X,Jakob Ogawa,Jakob,4ub2v80S4RIceZRGnlhjTr,0.62,60,204103,1300000,alternative r&b,indie garage rock,indie pop,,,,,,,,,,,,,,,,/artists/147529-jakob
/artists/2719876-blues-caravan,X,The Blues Caravan,The Johnny Otis Rhythm & Blues Caravan,3wLItroW2StGinBhqC91UW,0.62,8,78,996,,,,,,,,,,,,,,,,,,,
/artists/4003441-bass-desires,,Bass Desires,Marc Johnson's Bass Desires,75hVPgTBWFKLcWzQt3hJhP,0.62,5,369,342,ecm-style jazz,,,,,,,,,,,,,,,,,,
/artists/295100-riverdance,X,Riverdance,The Riverdance Singers,5IlA4h5fzcSW6HB0RYe3FX,0.62,7,91,746,,,,,,,,,,,,,,,,,,,
/artists/9433764-sting-operation,,Sting Operation,Felix Straumann’s Sting Operation,0ulhnG7VF8VLdxCCTDHovx,0.62,0,8,68,,,,,,,,,,,,,,,,,,,
/artists/3892001-nils-landgren-quartet,,Nils Landgren Quartet,"Nils Landgren, Thomas Clausen Brazilian Quartet",2xqsANpEnDvSKOCf1OASA2,0.62,0,9,7,,,,,,,,,,,,,,,,,,,
/artists/5175023-es-brennt,,Es Brennt,Es brennt - was tun?,7jpS52Wo7jgafiZvzJnEw9,0.62,17,21,5,,,,,,,,,,,,,,,,,,,
/artists/53910-nels-cline-singers,,The Nels Cline Singers,Nels Cline,3s6o8vxtYJ1utkWl8EXxUp,0.62,34,19238,51200,avant-garde jazz,contemporary jazz,experimental guitar,free improvisation,free jazz,jazz guitar,,,,,,,,,,,,,/artists/242853-nels-cline
/artists/4073436-sunnery-james,,Sunnery James,Sunnery James & Ryan Marciano,7kABWMhjA5GIl9PBEasBPt,0.62,58,58853,1300000,circuit,dutch house,edm,electro house,pop dance,progressive electro house,,,,,,,,,,,,,/artists/2479036-sunnery-james-and-ryan-marciano
/artists/9580874-elena-kitic,X,Elena Kitic,Elena,23EpL7Cr8OsOgkBvsEgk3v,0.62,51,60244,177700,turbo folk,,,,,,,,,,,,,,,,,,
/artists/1301647-meer,,**@meer**,MEER,4pAX6VBnbccF9uVcb9EGiq,0.62,21,1420,2400,deep progressive rock,,,,,,,,,,,,,,,,,,
/artists/2129011-marius-mullerwesternhagen,,Marius Müller-Westernhagen,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,0.63,55,224624,587300,german pop,german rock,liedermacher,,,,,,,,,,,,,,,,/artists/4075931-westernhagen
/artists/8282288-micro-hq,X,Micro HQ,Microsha 89,12WAu22wvEjz1qtJefAGhV,0.63,2,36,126,,,,,,,,,,,,,,,,,,,
/artists/7266369-est-symphony,X,E.s.t. Symphony,Embrace the Symphony,1cjW2lwl0iBwTxIDM3FUxJ,0.63,0,10,9,,,,,,,,,,,,,,,,,,,
/artists/3541061-spirit-of-gospel,X,The Spirit of Gospel,Fruit of the Spirit Gospel Singers,5kY1l74bVkMr9NKCEj8z6J,0.63,0,30,6,gospel singers,,,,,,,,,,,,,,,,,,
/artists/7030084-world-squad,X,World Squad,World Racketeering Squad,1Lk7BrN3VpQNpViUGNgfxp,0.63,0,7,5,,,,,,,,,,,,,,,,,,,
/artists/8650729-david-nance-band,X,David Nance Band,David Cuningham Scottish Dance Band,6mh47Y4cofPeht5jB8Tvka,0.63,0,13,68,ceilidh,traditional scottish folk,,,,,,,,,,,,,,,,,
/artists/9158709-neillink,X,Neil'link,Neil Innes,1Os8dbAw15y0pCfTZH0Sq0,0.63,13,3401,2300,comic,,,,,,,,,,,,,,,,,,
/artists/3612076-rappresentas,X,Rappresentas,La rappresentante di lista,0YmQyGKpZgGSDxsC8iEGQU,0.63,50,43793,259899,indie siciliano,italian indie pop,,,,,,,,,,,,,,,,,
