,word,counter,occurrences,manual,genres
0,indie,33,1377,independent music,"['adelaide indie', 'belo horizonte indie', 'bulgarian indie', 'cornwall indie', 'delaware indie', 'euskal indie', 'galway indie', 'hong kong indie', 'hungarian indie', 'indie boliviano', 'indie cordoba', 'indie liguria', 'indie tico', 'indie triste', 'isle of wight indie', 'kansai indie', 'limerick indie', 'lincoln ne indie', 'milwaukee indie', 'minneapolis indie', 'monterrey indie', 'normal indie', 'north dakota indie', 'pakistani indie', 'perth indie', 'portsmouth indie', 'san antonio indie', 'sardinia indie', 'slc indie', 'svensk indie', 'trondheim indie', 'venezuelan indie', 'west yorkshire indie']"
1,beats,3,87,electronic music,"['focus beats', 'italo beats', 'study beats']"
2,musica,3,87,world music,"['musica mato-grossense', 'musica para ninos', 'musica triste brasileira']"
3,viola,2,47,instrumental music,"['viola', 'viola da gamba']"
4,west,2,44,,"['old west', 'west yorkshire indie']"
5,deep,2,44,electronic music,"['deep discofox', 'deep flow']"
6,triste,2,44,,"['indie triste', 'musica triste brasileira']"
7,worship,2,44,contemporary worship music,"['chinese worship', 'french worship']"
8,lagu,2,44,world music,"['lagu iban', 'lagu sunda']"
9,musik,2,44,world music,"['finlandssvenska musik', 'musik anak-anak']"
10,fake,1,5,functional music,['fake']
11,tribute,1,4,functional music,['tribute']
12,kindermusik,1,4,children’s music,['kindermusik']
13,harpsichord,1,3,instrumental music,['harpsichord']
14,huzunlu,1,3,world music,['huzunlu sarkilar']
15,coverchill,1,3,electronic music,['coverchill']
16,cornwall,1,3,,['cornwall indie']
17,sarkilar,1,3,,['huzunlu sarkilar']
18,dakota,1,2,,['north dakota indie']
19,tico,1,2,,['indie tico']
20,ukulele,1,2,instrumental music,['ukulele']
21,folclor,1,2,folk music,['folclor afrocolombiano']
22,afrocolombiano,1,2,folk music,['folclor afrocolombiano']
23,taiko,1,2,instrumental music,['taiko']
24,north,1,2,,['north dakota indie']
25,isle,1,2,,['isle of wight indie']
26,of,1,2,,['isle of wight indie']
27,kleine,1,2,,['kleine hoerspiel']
28,effects,1,2,functional music,['sound effects']
29,sound,1,2,functional music,['sound effects']
30,lesen,1,2,functional music,['lesen']
31,sardinia,1,2,,['sardinia indie']
32,neomelodici,1,2,art music,['neomelodici']
33,hoerspiel,1,2,functional music,['kleine hoerspiel']
34,wight,1,2,,['isle of wight indie']
35,classify,1,2,functional music,['classify']
36,covertrance,1,2,electronic music,['covertrance']
37,barnmusik,1,2,children’s music,['barnmusik']
38,duduk,1,1,instrumental music,['duduk']
39,old,1,1,country music,['old west']
40,groove,1,1,funk,['rare groove']
41,rare,1,1,,['rare groove']
42,rain,1,1,functional music,['rain']
43,psychedelia,1,1,psychedelic music,['polish psychedelia']
44,francais,1,1,,['plugg francais']
45,plugg,1,1,electronic music,['plugg francais']
46,birdsong,1,1,functional music,['birdsong']
47,ocean,1,1,functional music,['ocean']
48,kombina,1,1,world music,['ritmo kombina']
49,nursery,1,1,children’s music,['nursery']
50,cancion,1,1,children’s music,['cancion infantil latinoamericana']
51,infantil,1,1,,['cancion infantil latinoamericana']
52,normal,1,1,,['normal indie']
53,latinoamericana,1,1,children’s music,['cancion infantil latinoamericana']
54,anak-anak,1,1,,['musik anak-anak']
55,brasileira,1,1,,['musica triste brasileira']
56,ninos,1,1,children’s music,['musica para ninos']
57,para,1,1,,['musica para ninos']
58,ritmo,1,1,,['ritmo kombina']
59,antonio,1,1,,['san antonio indie']
60,san,1,1,,['san antonio indie']
61,cantautora,1,1,art music,['cantautora argentina']
62,workout,1,1,functional music,['workout product']
63,yorkshire,1,1,,['west yorkshire indie']
64,washboard,1,1,instrumental music,['washboard']
65,gamba,1,1,,['viola da gamba']
66,da,1,1,,['viola da gamba']
67,backing,1,1,,['backing track']
68,remix,1,1,electronic music,['vgm remix']
69,vgm,1,1,,['vgm remix']
70,track,1,1,functional music,['backing track']
71,dnb,1,1,electronic music,['belgian dnb']
72,svensk,1,1,,['svensk indie']
73,study,1,1,electronic music,['study beats']
74,invasion,1,1,world music,['spanish invasion']
75,belo,1,1,,['belo horizonte indie']
76,horizonte,1,1,,['belo horizonte indie']
77,sleep,1,1,functional music,['sleep']
78,slc,1,1,,['slc indie']
79,shojo,1,1,world music,['shojo']
80,binaural,1,1,functional music,['binaural']
81,mato-grossense,1,1,,['musica mato-grossense']
82,mgp,1,1,pop music,['mgp']
83,euskal,1,1,,['euskal indie']
84,melodipop,1,1,pop music,['melodipop']
85,boliviano,1,1,,['indie boliviano']
86,africaine,1,1,children’s music,['comptine africaine']
87,kong,1,1,,['hong kong indie']
88,hong,1,1,,['hong kong indie']
89,ccb,1,1,functional music,['hinos ccb']
90,hinos,1,1,,['hinos ccb']
91,dakke,1,1,electronic music,['dakke dak']
92,guqin,1,1,instrumental music,['guqin']
93,galway,1,1,,['galway indie']
94,fotbollslatar,1,1,functional music,['fotbollslatar']
95,portugues,1,1,,['folclore portugues']
96,folclore,1,1,folk music,['folclore portugues']
97,dak,1,1,,['dakke dak']
98,darbuka,1,1,world music,['darbuka']
99,discofox,1,1,electronic music,['deep discofox']
100,focus,1,1,,['focus beats']
101,flow,1,1,electronic music,['deep flow']
102,finlandssvenska,1,1,world music,['finlandssvenska musik']
103,demoscene,1,1,nerd music,['demoscene']
104,cordoba,1,1,,['indie cordoba']
105,liguria,1,1,,['indie liguria']
106,comptine,1,1,children’s music,['comptine africaine']
107,classic,1,1,pop music,['classic eurovision']
108,louvor,1,1,functional music,['louvor']
109,limerick,1,1,functional music,['limerick indie']
110,argentina,1,1,folk music,['cantautora argentina']
111,sunda,1,1,,['lagu sunda']
112,iban,1,1,world music,['lagu iban']
113,audiophile,1,1,art music,['chinese audiophile']
114,kollywood,1,1,world music,['kollywood']
115,cimbalom,1,1,instrumental music,['cimbalom']
116,eurovision,1,1,,['classic eurovision']
117,nacionales,1,1,folk music,['combos nacionales']
118,roots,1,1,country music,['kentucky roots']
119,kansai,1,1,,['kansai indie']
120,jugendchor,1,1,vocal music,['jugendchor']
121,vtuber,1,1,world music,['japanese vtuber']
122,j-division,1,1,world music,['j-division']
123,italo,1,1,,['italo beats']
124,afrikaans,1,1,world music,['afrikaans']
125,combos,1,1,world music,['combos nacionales']
126,product,1,1,functional music,['workout product']
